file,type,len,dist,pred_tok,true_tok,pred_alt,true_alt,flip
tests\corpus\anvil_bench.exe,1,5,32,19.008,2.4424,25.12,33.6371,0
tests\corpus\anvil_bench.exe,1,6,8192,25.69,2.20753,35.7998,43.8433,0
tests\corpus\anvil_bench.exe,1,6,368,24.8849,1.95753,30.3957,39.9887,0
tests\corpus\anvil_bench.exe,1,4,111,19.3253,1.6924,23.1113,31.4867,0
tests\corpus\anvil_bench.exe,1,4,21,18.9027,1.4424,23.7099,31.0907,0
tests\corpus\anvil_bench.exe,1,7,52,19.131,2.6924,46.8046,54.7878,0
tests\corpus\anvil_bench.exe,1,4,8,18.6706,1.1924,23.892,29.2995,0
tests\corpus\anvil_bench.exe,1,5,350,24.872,2.08253,25.397,33.5856,0
tests\corpus\anvil_bench.exe,1,6,9065,25.7163,2.58253,33.6329,42.3765,0
tests\corpus\anvil_bench.exe,1,4,9291,25.7227,2.70753,26.7649,29.918,0
tests\corpus\anvil_bench.exe,1,6,1,18.28,1.8174,34.8563,39.021,0
tests\corpus\anvil_bench.exe,1,7,76,19.228,2.6924,42.9535,48.0594,0
tests\corpus\anvil_bench.exe,3,7,443,26.708,2.78501,48.9031,54.1547,0
tests\corpus\anvil_bench.exe,1,4,227,24.7599,1.95753,28.2627,30.843,0
tests\corpus\anvil_bench.exe,2,8,243,36.1775,5.12754,49.2147,58.145,0
tests\corpus\anvil_bench.exe,1,4,682,25.0448,2.20753,25.9874,28.7351,0
tests\corpus\anvil_bench.exe,1,4,250,24.7849,1.95753,27.803,34.5756,0
tests\corpus\anvil_bench.exe,1,4,26,18.9559,1.5674,25.7502,31.3345,0
tests\corpus\anvil_bench.exe,1,4,16,18.8357,1.4424,30.0931,36.2478,0
tests\corpus\anvil_bench.exe,1,4,27,18.9653,2.4424,27.6602,30.7077,0
tests\corpus\anvil_bench.exe,1,15,150,24.6529,2.33253,101.395,110.347,0
tests\corpus\anvil_bench.exe,1,5,9361,25.7247,2.58253,29.195,37.63,0
tests\corpus\anvil_bench.exe,2,8,9238,37.1212,4.87754,44.4412,53.3031,0
tests\corpus\anvil_bench.exe,2,9,1093,34.3533,4.25254,42.979,53.9261,0
tests\corpus\anvil_bench.exe,1,6,171,24.6867,1.95753,37.9931,45.4769,0
tests\corpus\anvil_bench.exe,1,5,128,19.362,1.5674,34.9694,41.7254,0
tests\corpus\anvil_bench.exe,1,4,32,19.008,1.4424,35.27,36.6455,0
tests\corpus\anvil_bench.exe,2,9,185,34.6646,4.00254,55.6167,63.9162,0
tests\corpus\anvil_bench.exe,2,22,648,45.6659,6.13962,109.857,131.55,0
tests\corpus\anvil_bench.exe,2,32,838,63.6427,9.03879,212.702,223.836,0
tests\corpus\anvil_bench.exe,3,54,832,107.799,18.0517,332.217,346.925,0
tests\corpus\anvil_bench.exe,2,11,9448,44.9432,7.9017,60.8553,71.3246,0
tests\corpus\anvil_bench.exe,2,81,1145,149.259,25.6246,463.485,497.542,0
tests\corpus\anvil_bench.exe,1,5,208,24.7373,1.83253,26.0885,33.9132,0
tests\corpus\anvil_bench.exe,1,4,126,19.358,1.6924,23.0647,30.0812,0
tests\corpus\anvil_bench.exe,2,27,10309,38.1636,6.37754,157.845,173.804,0
tests\corpus\anvil_bench.exe,1,8,10313,25.7498,2.70753,47.7768,55.1194,0
tests\corpus\anvil_bench.exe,3,4,1633,26.6714,4.91001,28.6186,33.1042,0
tests\corpus\anvil_bench.exe,1,4,8,18.6706,1.1924,26.3524,30.9242,0
tests\corpus\anvil_bench.exe,1,4,514,24.9715,2.20753,27.803,34.5756,0
tests\corpus\anvil_bench.exe,1,4,760,25.0729,2.33253,29.933,37.2893,0
tests\corpus\anvil_bench.exe,1,5,1,18.28,1.8174,28.8791,41.869,0
tests\corpus\anvil_bench.exe,1,11,256,24.791,2.95753,51.8062,65.0242,0
tests\corpus\anvil_bench.exe,1,57,592,25.0081,2.95753,412.351,416.779,0
tests\corpus\anvil_bench.exe,2,23,589,54.3938,8.2767,153.543,162.637,0
tests\corpus\anvil_bench.exe,1,14,96,19.288,2.8174,69.9655,86.7537,0
tests\corpus\anvil_bench.exe,2,15,592,49.2482,7.2767,101.75,105.765,0
tests\corpus\anvil_bench.exe,2,30,500,64.1361,10.0509,213.644,221.673,0
tests\corpus\anvil_bench.exe,1,6,97,19.2906,1.6924,38.6961,46.7458,0
tests\corpus\anvil_bench.exe,3,7,463,26.7194,3.78501,46.6492,50.7425,0
tests\corpus\anvil_bench.exe,1,16,840,25.0989,2.58253,107.377,116.578,0
tests\corpus\anvil_bench.exe,1,7,683,25.0452,2.33253,38.6568,47.8123,0
tests\corpus\anvil_bench.exe,1,4,10232,25.7478,2.70753,26.0247,29.1831,0
tests\corpus\anvil_bench.exe,3,14,662,27.6871,5.03501,83.7334,95.1142,0
tests\corpus\anvil_bench.exe,2,50,379,56.1198,7.93463,294.338,321.918,0
tests\corpus\anvil_bench.exe,3,4,379,26.2926,3.66001,28.3002,32.9942,0
tests\corpus\anvil_bench.exe,1,6,1267,25.2055,2.20753,30.7563,39.5743,0
tests\corpus\anvil_bench.exe,1,5,765,25.0746,2.20753,29.6918,37.7081,0
tests\corpus\anvil_bench.exe,2,14,18,30.416,3.73741,67.4055,82.4668,0
tests\corpus\anvil_bench.exe,1,11,1202,25.1918,3.58253,71.3621,79.25,0
tests\corpus\anvil_bench.exe,2,9,144,32.2037,3.87754,48.0879,56.8723,0
