file,type,len,dist,pred_tok,true_tok,pred_alt,true_alt,flip
tests\corpus\generated.jsonl,1,4,13470,25.8192,3.05834,27.0967,23.309,0
tests\corpus\generated.jsonl,2,1168,3753,668.074,81.6462,5616.84,6640.69,0
tests\corpus\generated.jsonl,2,1169,129502,847.413,98.762,5645.7,6637.31,0
tests\corpus\generated.jsonl,2,464,86313,319.277,39.724,2241.27,2658.5,0
tests\corpus\generated.jsonl,2,122,144987,173.562,20.274,619.533,684.974,0
tests\corpus\generated.jsonl,2,1756,4691,982.767,122.413,8459.46,9994.89,0
tests\corpus\generated.jsonl,2,591,72455,504.257,68.9706,2878.42,3342.65,0
tests\corpus\generated.jsonl,2,2048,939,1183.08,145.833,9856.02,11642.1,0
tests\corpus\generated.jsonl,2,2048,3756,1165.9,140.83,9859.29,11578.5,0
tests\corpus\generated.jsonl,2,2048,4695,1207.41,150.858,9887.59,11603.4,0
tests\corpus\generated.jsonl,2,541,3756,315.137,36.7852,2599.31,3096.87,0
tests\corpus\generated.jsonl,2,1169,35602,793.694,95.7155,5661.06,6648.6,0
tests\corpus\generated.jsonl,2,1169,49696,812.881,97.7334,5649.94,6648.89,0
tests\corpus\generated.jsonl,2,700,137951,477.739,59.0429,3390.4,4000.72,0
tests\corpus\generated.jsonl,2,239,72454,213.235,28.4373,1159.08,1367.37,0
tests\corpus\generated.jsonl,2,2048,57202,1254.98,161.888,9912.27,11576,0
tests\corpus\generated.jsonl,2,1701,4691,1035.94,126.417,8197.35,9662.02,0
tests\corpus\generated.jsonl,2,356,144989,335.075,44.6446,1738.4,2009.25,0
tests\corpus\generated.jsonl,2,2048,939,1214.84,145.858,9859.25,11594.6,0
tests\corpus\generated.jsonl,2,1650,939,962.514,118.305,7974.46,9378.67,0
tests\corpus\generated.jsonl,2,2048,140769,1124.68,143.799,9905.82,11606.1,0
tests\corpus\generated.jsonl,2,1191,1878,714.847,87.7097,5755,6780.26,0
tests\corpus\generated.jsonl,2,1169,132324,832.19,99.7477,5642.11,6636.3,0
tests\corpus\generated.jsonl,2,352,3285,318.051,40.5871,1727.51,2008.75,0
tests\corpus\generated.jsonl,2,2048,13157,1328.09,157.901,9922.17,11652.4,0
tests\corpus\generated.jsonl,2,2048,4691,1147.73,135.794,9926.64,11625.1,0
tests\corpus\generated.jsonl,2,1883,7507,1163.12,138.656,9109.11,10673.1,0
tests\corpus\generated.jsonl,2,473,72472,392.181,52.7705,2290.43,2690.05,0
tests\corpus\generated.jsonl,2,2048,57205,1247.33,151.86,9929.63,11579.9,0
tests\corpus\generated.jsonl,2,2042,3756,1223.17,142.837,9906.2,11585.7,0
tests\corpus\generated.jsonl,2,1069,126693,659.318,78.543,5154.72,6075.83,0
tests\corpus\generated.jsonl,2,2048,83500,1431.43,170.974,9938.32,11616.8,0
tests\corpus\generated.jsonl,2,415,2346,316.986,43.6532,2013.74,2348.19,0
tests\corpus\generated.jsonl,2,2048,26298,1291.82,153.877,9930.24,11631.4,0
tests\corpus\generated.jsonl,2,2048,4691,1128.1,135.794,9918.49,11617.6,0
tests\corpus\generated.jsonl,2,944,7506,603.234,72.3775,4578.49,5355.14,0
tests\corpus\generated.jsonl,2,474,72472,400.056,50.7669,2312.85,2700.01,0
tests\corpus\generated.jsonl,2,1638,188649,1079.26,134.374,7934.63,9323.4,0
tests\corpus\generated.jsonl,2,357,144994,351.603,44.6482,1753.94,2016.62,0
tests\corpus\generated.jsonl,2,2048,3756,1200.98,145.851,9888.76,11596.9,0
tests\corpus\generated.jsonl,2,2048,4695,1139.64,142.812,9900.46,11622.6,0
tests\corpus\generated.jsonl,2,244,235,165.993,22.4075,1181.75,1396.83,0
tests\corpus\generated.jsonl,2,1169,48826,719.85,90.6725,5670.37,6653.4,0
tests\corpus\generated.jsonl,2,934,79748,615.908,75.3858,4520.39,5329.54,0
tests\corpus\generated.jsonl,2,121,72475,158.148,20.2668,606.688,685.295,0
tests\corpus\generated.jsonl,2,2048,26282,1298.51,151.874,9929.78,11662.5,0
tests\corpus\generated.jsonl,2,2048,4691,1163.2,139.794,9952.56,11675.5,0
tests\corpus\generated.jsonl,2,943,3753,602.34,75.3739,4568.04,5376.93,0
tests\corpus\generated.jsonl,2,235,72497,205.823,26.4301,1141.45,1352.34,0
tests\corpus\generated.jsonl,2,235,72498,204.742,26.4265,1144.57,1353.12,0
tests\corpus\generated.jsonl,2,120,88428,155.468,19.2668,603.114,669.235,0
tests\corpus\generated.jsonl,2,2048,939,1187.32,144.83,9891.79,11655.5,0
tests\corpus\generated.jsonl,2,2048,3756,1172.9,139.823,9906.86,11635,0
tests\corpus\generated.jsonl,2,1182,4695,698.869,82.657,5740.05,6737.43,0
